 연번,의료기관명,대표자,도로명주소,위도,경도,전화번호,계,일반,정신,개설일자
1,재단법인천주교부산교구유지재단메리놀병원,조세현,부산광역시 중구로121(대청동 4가 12-9),35.10201442,129.0313444,051-465-8801,346,346,,1974-04-30
2,부산대학교병원,이정주,부산광역시 서구 구덕로 179(아미동 1가),35.10105341,129.0192233,051-254-0171,1189,1170,19,1981-08-27
3,고신대학교복음병원,오경승,부산광역시 서구 감천로 262(암남동),35.08108175,129.0145115,051-990-6114,950,930,20,1974-02-26
4,동아대학교병원,안희배,부산광역시 서구 대신공원로 26(동대신동3가),35.12050966,129.0187528,051-240-2400,955,935,20,1990-03-03
5,삼육부산병원,최명섭,부산광역시 서구 대티로170(서대신동2가),35.11206559,129.0109797,051-242-9751,286,286,,1974-03-07
6,재단법인한호기독교선교회 일신기독병원,서성숙,부산광역시 동구 정공단로 27 (좌천동),35.13577136,129.0544185,051-630-0300,151,151,,1984-07-02
7,의료법인정화의료재단김원묵기념봉생병원,김남희,"부산광역시 동구 중앙대로 401 (좌천동, 봉생병원)",35.13085617,129.0505697,051-664-4000,413,382,31,1985-01-05
8,좋은문화병원,문화숙,부산광역시 동구 범일로 119 (범일동),35.14078777,129.0590483,051-644-2002,293,293,,1986-11-01
9,해동병원,김창수,부산광역시 영도구 태종로 133(봉래동3가),35.09193762,129.0438623,051-412-6161,267,267,,1984-07-05
10,영도병원,정준환,부산광역시 영도구 태종로 85(대교동2가),35.09224571,129.0405322,051-414-8101,219,219,,1996-06-29
11,의료법인 온그룹의료재단온종합병원,김동헌,"부산광역시 부산진구 가야대로 721, 719, 767 (당감동)",35.15791175,129.0500288,051-607-0114,483,483,,2010-02-26
12,학교법인)동의병원,이인길,"부산광역시 부산진구 양정로 62, 지상2ㆍ3ㆍ10층 각 일부/ 지하1ㆍ지상1ㆍ지상4~지상8층 전층 (양정동)",35.16995215,129.075926,051-867-5101,433,433,,1990-04-21
13,인제대학교부산백병원,이연재,"부산광역시 부산진구 복지로 75, 진사로83번길 81, 1층(일부), 3층 (개금동)",35.14411574,129.0178731,051-890-6114,851,831,20,1979-06-01
14,학교법인 춘해병원,최재상,"부산광역시 부산진구 중앙대로605,지상1층~지상9층(범천동)",35.14695013,129.058382,051-638-8000,201,201,,1974-02-26
15,대동병원,박경환,부산광역시 동래구 충렬대로 187 (명륜동),35.20431096,129.0802014,051-554-1233,421,421,,1980-02-21
16,의료법인 광혜의료재단 광혜병원,이재원,"부산광역시 동래구 충렬대로 96 (온천동,광혜병원)",35.20699644,129.0711545,051-503-2111,217,217,,1983-12-07
17,동래봉생병원,박화성,부산광역시 동래구 안연로109번길 27 (안락동),35.19691163,129.0961136,051-531-6000,281,281,,1990-06-01
18,부산성모병원(재단법인천주교부산교구유지재단),김준현,부산광역시 남구 용호로 232번길25-14 (용호동),35.11051148,129.1091922,051-933-7114,368,368,,2006-06-02
19,의료법인 인당의료재단 부민병원,정춘필,"부산광역시 북구 만덕대로 59 (덕천동, 부민병원)",35.21196542,129.0112189,051-330-3000,389,389,,2003-01-02
20,구포성심병원,박시환,부산광역시 북구 낙동대로 1786 (구포동),35.2097032,129.0047,051-330-2001,243,243,,1983-04-19
21,인제대학교 해운대백병원,최영균,부산광역시 해운대구 해운대로 875 (좌동),35.17326019,129.1821691,051-797-2664,899,884,15,2010-02-10
22,의료법인 인당의료재단 해운대부민병원,정흥태,부산광역시 해운대구 해운대로 584(우동),35.16149184,129.1556667,051-602-8000,345,345,,2015-07-09
23,부산광역시의료원,노환중,"부산광역시 연제구 월드컵대로 359 (거제동, 1동, 5동일부)",35.18741703,129.0600491,051-507-3000,548,516,32,1982-06-30
24,비에이치에스한서병원,윤철수,부산광역시 수영구 수영로 615 (광안동),35.1610456,129.1128862,051-756-0081,299,299,,1987-11-02
25,의료법인은성의료재단좋은강안병원,서우영,부산광역시 수영구 수영로 493 (남천동),35.15016884,129.1105978,051-625-0900,515,515,,2005-02-23
26,한국보훈복지의료공단부산보훈병원,백승완,부산광역시 사상구 백양대로 420(주례동),35.15289483,129.0082475,051-601-6000,445,445,,1992-05-11
27,의료법인은성의료재단좋은삼선병원,이용성,부산광역시 사상구 가야대로 326(주례동),35.15014923,129.0078075,051-322-0900           ,367,367,,1995-03-30
28,동남권원자력의학원,박상일,부산광역시 기장군 장안읍 좌동길 40,35.32183895,129.2443344,051-720-5114,258,258,,2010-04-16
